"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through November 2021",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2021,1,US-Total,"Combined Heat and Power, Commercial Power",Geothermal (Billion Btu),386
2021,1,US-Total,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"4,308,185"
2021,1,US-Total,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"22,813"
2021,1,US-Total,"Combined Heat and Power, Electric Power",Coal (Short Tons),"584,926"
2021,1,US-Total,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"62,061,045"
2021,1,US-Total,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),"1,594"
2021,1,US-Total,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"353,669"
2021,1,US-Total,"Electric Generators, Independent Power Producers",Coal (Short Tons),"11,313,788"
2021,1,US-Total,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"10,939"
2021,1,US-Total,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"325,617,917"
2021,1,US-Total,"Electric Generators, Independent Power Producers",Other Gases (Billion Btu),0
2021,1,US-Total,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"201,947"
2021,1,US-Total,"Electric Generators, Electric Utilities",Coal (Short Tons),"33,159,747"
2021,1,US-Total,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),711
2021,1,US-Total,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"452,444,093"
2021,1,US-Total,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),0
2021,1,US-Total,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,337,769"
2021,1,UT,Total Electric Power Industry,Coal (Short Tons),"928,494"
2021,1,UT,Total Electric Power Industry,Geothermal (Billion Btu),269
2021,1,UT,Total Electric Power Industry,Natural Gas (Mcf),"6,252,680"
2021,1,UT,Total Electric Power Industry,Other Gases (Billion Btu),1
2021,1,UT,Total Electric Power Industry,Petroleum (Barrels),"7,431"
2021,1,UT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"352,790"
2021,1,UT,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),1
2021,1,UT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,1,UT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"62,875"
2021,1,UT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,1,UT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"37,466"
2021,1,UT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"34,316"
2021,1,UT,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),131
2021,1,UT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),400
2021,1,UT,"Electric Generators, Electric Utilities",Coal (Short Tons),"894,178"
2021,1,UT,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),137
2021,1,UT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,799,549"
2021,1,UT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"7,031"
2021,1,VA,Total Electric Power Industry,Coal (Short Tons),"39,714"
2021,1,VA,Total Electric Power Industry,Natural Gas (Mcf),"32,392,020"
2021,1,VA,Total Electric Power Industry,Petroleum (Barrels),"27,351"
2021,1,VA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"5,979"
2021,1,VA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"734,253"
2021,1,VA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),26
2021,1,VA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,1,VA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,1,VA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"14,830"
2021,1,VA,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,1,VA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"54,862"
2021,1,VA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,VA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"13,045"
2021,1,VA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"7,293,287"
2021,1,VA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"3,549"
2021,1,VA,"Electric Generators, Electric Utilities",Coal (Short Tons),"20,690"
2021,1,VA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"24,309,618"
2021,1,VA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"8,946"
2021,1,VT,Total Electric Power Industry,Natural Gas (Mcf),"1,253"
2021,1,VT,Total Electric Power Industry,Petroleum (Barrels),339
2021,1,VT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),680
2021,1,VT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,1,VT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),573
2021,1,VT,"Electric Generators, Electric Utilities",Petroleum (Barrels),339
2021,1,WA,Total Electric Power Industry,Coal (Short Tons),"241,213"
2021,1,WA,Total Electric Power Industry,Natural Gas (Mcf),"8,092,231"
2021,1,WA,Total Electric Power Industry,Other Gases (Billion Btu),124
2021,1,WA,Total Electric Power Industry,Petroleum (Barrels),"1,364"
2021,1,WA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),683
2021,1,WA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"384,208"
2021,1,WA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),124
2021,1,WA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),599
2021,1,WA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"7,406"
2021,1,WA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),44
2021,1,WA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"240,530"
2021,1,WA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,461,790"
2021,1,WA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),237
2021,1,WA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,238,827"
2021,1,WA,"Electric Generators, Electric Utilities",Petroleum (Barrels),484
2021,1,WI,Total Electric Power Industry,Coal (Short Tons),"1,462,205"
2021,1,WI,Total Electric Power Industry,Natural Gas (Mcf),"13,534,746"
2021,1,WI,Total Electric Power Industry,Petroleum (Barrels),"23,503"
2021,1,WI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"7,888"
2021,1,WI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"533,373"
2021,1,WI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),99
2021,1,WI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2021,1,WI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"46,533"
2021,1,WI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),46
2021,1,WI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"597,902"
2021,1,WI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),61
2021,1,WI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),510
2021,1,WI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),183
2021,1,WI,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,454,317"
2021,1,WI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"12,356,428"
2021,1,WI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"23,114"
2021,1,WV,Total Electric Power Industry,Coal (Short Tons),"2,405,061"
2021,1,WV,Total Electric Power Industry,Natural Gas (Mcf),"1,145,136"
2021,1,WV,Total Electric Power Industry,Other Gases (Billion Btu),21
2021,1,WV,Total Electric Power Industry,Petroleum (Barrels),"26,599"
2021,1,WV,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"261,062"
2021,1,WV,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),21
2021,1,WV,"Electric Generators, Independent Power Producers",Coal (Short Tons),"501,442"
2021,1,WV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"832,809"
2021,1,WV,"Electric Generators, Independent Power Producers",Petroleum (Barrels),9
2021,1,WV,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,903,619"
2021,1,WV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"51,265"
2021,1,WV,"Electric Generators, Electric Utilities",Petroleum (Barrels),"26,590"
2021,1,WY,Total Electric Power Industry,Coal (Short Tons),"1,746,114"
2021,1,WY,Total Electric Power Industry,Natural Gas (Mcf),"688,681"
2021,1,WY,Total Electric Power Industry,Other Gases (Billion Btu),238
2021,1,WY,Total Electric Power Industry,Petroleum (Barrels),"8,838"
2021,1,WY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"5,560"
2021,1,WY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"407,642"
2021,1,WY,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),238
2021,1,WY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),12
2021,1,WY,"Electric Generators, Independent Power Producers",Coal (Short Tons),"47,034"
2021,1,WY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,316"
2021,1,WY,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,693,520"
2021,1,WY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"279,723"
2021,1,WY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"8,826"
2021,2,AK,Total Electric Power Industry,Coal (Short Tons),"48,680"
2021,2,AK,Total Electric Power Industry,Natural Gas (Mcf),"1,835,240"
2021,2,AK,Total Electric Power Industry,Petroleum (Barrels),"131,460"
2021,2,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"23,895"
2021,2,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"4,879"
2021,2,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"4,073"
2021,2,AK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),9
2021,2,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),20
2021,2,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"11,672"
2021,2,AK,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,2,AK,"Electric Generators, Independent Power Producers",Petroleum (Barrels),323
2021,2,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),"32,935"
2021,2,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,811,336"
2021,2,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"126,238"
2021,2,AL,Total Electric Power Industry,Coal (Short Tons),"1,299,242"
2021,2,AL,Total Electric Power Industry,Natural Gas (Mcf),"26,211,127"
2021,2,AL,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,2,AL,Total Electric Power Industry,Petroleum (Barrels),"23,078"
2021,2,AL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),136
2021,2,AL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"695,766"
2021,2,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,2,AL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,326"
2021,2,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,453,357"
2021,2,AL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"12,124,164"
2021,2,AL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"17,528"
2021,2,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,299,106"
2021,2,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"10,937,840"
2021,2,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,224"
2021,2,AR,Total Electric Power Industry,Coal (Short Tons),"1,172,919"
2021,2,AR,Total Electric Power Industry,Natural Gas (Mcf),"7,124,218"
2021,2,AR,Total Electric Power Industry,Petroleum (Barrels),"17,953"
2021,2,AR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),412
2021,2,AR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"100,840"
2021,2,AR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),4
2021,2,AR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"32,362"
2021,2,AR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"188,787"
2021,2,AR,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,2,AR,"Electric Generators, Independent Power Producers",Coal (Short Tons),"150,348"
2021,2,AR,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,509"
2021,2,AR,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,022,159"
2021,2,AR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,802,229"
2021,2,AR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"15,440"
2021,2,AZ,Total Electric Power Industry,Coal (Short Tons),"674,363"
2021,2,AZ,Total Electric Power Industry,Natural Gas (Mcf),"16,431,112"
2021,2,AZ,Total Electric Power Industry,Petroleum (Barrels),"9,733"
2021,2,AZ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"41,367"
2021,2,AZ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),4
2021,2,AZ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"19,816"
2021,2,AZ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,2,AZ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,229,293"
2021,2,AZ,"Electric Generators, Electric Utilities",Coal (Short Tons),"674,363"
2021,2,AZ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"12,140,636"
2021,2,AZ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"9,729"
2021,2,CA,Total Electric Power Industry,Coal (Short Tons),"4,926"
2021,2,CA,Total Electric Power Industry,Geothermal (Billion Btu),"8,134"
2021,2,CA,Total Electric Power Industry,Natural Gas (Mcf),"42,854,800"
2021,2,CA,Total Electric Power Industry,Other Gases (Billion Btu),648
2021,2,CA,Total Electric Power Industry,Petroleum (Barrels),"36,442"
2021,2,CA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"4,926"
2021,2,CA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"5,077,843"
2021,2,CA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),648
2021,2,CA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"31,533"
2021,2,CA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"686,701"
2021,2,CA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),69
2021,2,CA,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,2,CA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"4,814,306"
2021,2,CA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,2,CA,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"7,585"
2021,2,CA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"20,463,008"
2021,2,CA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),612
2021,2,CA,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),549
2021,2,CA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"11,812,942"
2021,2,CA,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),0
2021,2,CA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,228"
2021,2,CO,Total Electric Power Industry,Coal (Short Tons),"1,260,484"
2021,2,CO,Total Electric Power Industry,Natural Gas (Mcf),"9,295,700"
2021,2,CO,Total Electric Power Industry,Other Gases (Billion Btu),12
2021,2,CO,Total Electric Power Industry,Petroleum (Barrels),"13,389"
2021,2,CO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,2,CO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"89,607"
2021,2,CO,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),12
2021,2,CO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),28
2021,2,CO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,2,CO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,2,CO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),589
2021,2,CO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,2,CO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,545,686"
2021,2,CO,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2021,2,CO,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,260,484"
2021,2,CO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"7,659,818"
2021,2,CO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"13,361"
2021,2,CT,Total Electric Power Industry,Coal (Short Tons),"72,044"
2021,2,CT,Total Electric Power Industry,Natural Gas (Mcf),"12,260,433"
2021,2,CT,Total Electric Power Industry,Petroleum (Barrels),"67,814"
2021,2,CT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"252,622"
2021,2,CT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),541
2021,2,CT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"135,804"
2021,2,CT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),20
2021,2,CT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"59,592"
2021,2,CT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),13
2021,2,CT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"72,044"
2021,2,CT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"11,784,332"
2021,2,CT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"65,982"
2021,2,CT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"28,083"
2021,2,CT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,258"
2021,2,DC,Total Electric Power Industry,Natural Gas (Mcf),"139,622"
2021,2,DC,Total Electric Power Industry,Petroleum (Barrels),39
2021,2,DC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"139,622"
2021,2,DC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),39
2021,2,DE,Total Electric Power Industry,Coal (Short Tons),"27,474"
2021,2,DE,Total Electric Power Industry,Natural Gas (Mcf),"1,015,417"
2021,2,DE,Total Electric Power Industry,Other Gases (Billion Btu),55
2021,2,DE,Total Electric Power Industry,Petroleum (Barrels),"10,934"
2021,2,DE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"256,767"
2021,2,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),55
2021,2,DE,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,2,DE,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2021,2,DE,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"7,112"
2021,2,DE,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,2,DE,"Electric Generators, Independent Power Producers",Coal (Short Tons),"27,474"
2021,2,DE,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"745,326"
2021,2,DE,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"10,129"
2021,2,DE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,212"
2021,2,DE,"Electric Generators, Electric Utilities",Petroleum (Barrels),805
2021,2,FL,Total Electric Power Industry,Coal (Short Tons),"704,916"
2021,2,FL,Total Electric Power Industry,Natural Gas (Mcf),"86,940,900"
2021,2,FL,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,2,FL,Total Electric Power Industry,Petroleum (Barrels),"363,371"
2021,2,FL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),660
2021,2,FL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"651,342"
2021,2,FL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,2,FL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,558"
2021,2,FL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"22,602"
2021,2,FL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,2,FL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"922,311"
2021,2,FL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,2,FL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,481,619"
2021,2,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"29,724"
2021,2,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),"704,256"
2021,2,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"82,863,026"
2021,2,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"331,089"
2021,2,GA,Total Electric Power Industry,Coal (Short Tons),"1,343,315"
2021,2,GA,Total Electric Power Industry,Natural Gas (Mcf),"27,187,897"
2021,2,GA,Total Electric Power Industry,Petroleum (Barrels),"68,975"
2021,2,GA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,686"
2021,2,GA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"368,912"
2021,2,GA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"19,563"
2021,2,GA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2021,2,GA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),165
2021,2,GA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"30,820"
2021,2,GA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,2,GA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,770,712"
2021,2,GA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"9,762"
2021,2,GA,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,339,629"
2021,2,GA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"22,017,453"
2021,2,GA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"39,485"
2021,2,HI,Total Electric Power Industry,Coal (Short Tons),"43,939"
2021,2,HI,Total Electric Power Industry,Geothermal (Billion Btu),117
2021,2,HI,Total Electric Power Industry,Other Gases (Billion Btu),0
2021,2,HI,Total Electric Power Industry,Petroleum (Barrels),"761,156"
2021,2,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2021,2,HI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"11,658"
2021,2,HI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),914
2021,2,HI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"43,939"
2021,2,HI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"88,950"
2021,2,HI,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),117
2021,2,HI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"19,584"
2021,2,HI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"640,050"
2021,2,IA,Total Electric Power Industry,Coal (Short Tons),"1,137,926"
2021,2,IA,Total Electric Power Industry,Natural Gas (Mcf),"1,730,106"
2021,2,IA,Total Electric Power Industry,Petroleum (Barrels),"16,188"
2021,2,IA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"30,269"
2021,2,IA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"179,669"
2021,2,IA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"5,395"
2021,2,IA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"1,443"
2021,2,IA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"30,131"
2021,2,IA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),897
2021,2,IA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),175
2021,2,IA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),328
2021,2,IA,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,106,214"
2021,2,IA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,520,131"
2021,2,IA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"9,568"
2021,2,ID,Total Electric Power Industry,Coal (Short Tons),373
2021,2,ID,Total Electric Power Industry,Geothermal (Billion Btu),57
2021,2,ID,Total Electric Power Industry,Natural Gas (Mcf),"2,789,101"
2021,2,ID,Total Electric Power Industry,Petroleum (Barrels),0
2021,2,ID,"Combined Heat and Power, Industrial Power",Coal (Short Tons),373
2021,2,ID,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"56,375"
2021,2,ID,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,2,ID,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"13,723"
2021,2,ID,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2021,2,ID,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),57
2021,2,ID,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"872,919"
2021,2,ID,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,846,084"
2021,2,ID,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2021,2,IL,Total Electric Power Industry,Coal (Short Tons),"2,469,907"
2021,2,IL,Total Electric Power Industry,Natural Gas (Mcf),"14,887,952"
2021,2,IL,Total Electric Power Industry,Other Gases (Billion Btu),111
2021,2,IL,Total Electric Power Industry,Petroleum (Barrels),"19,994"
2021,2,IL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"37,121"
2021,2,IL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"292,656"
2021,2,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),111
2021,2,IL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2021,2,IL,"Combined Heat and Power, Commercial Power",Coal (Short Tons),640
2021,2,IL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"170,853"
2021,2,IL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),9
2021,2,IL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"339,129"
2021,2,IL,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2021,2,IL,"Electric Generators, Independent Power Producers",Coal (Short Tons),"2,321,857"
2021,2,IL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"10,933,222"
2021,2,IL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"9,137"
2021,2,IL,"Electric Generators, Electric Utilities",Coal (Short Tons),"110,289"
2021,2,IL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,152,092"
2021,2,IL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"10,848"
2021,2,IN,Total Electric Power Industry,Coal (Short Tons),"3,155,920"
2021,2,IN,Total Electric Power Industry,Natural Gas (Mcf),"16,933,617"
2021,2,IN,Total Electric Power Industry,Other Gases (Billion Btu),"1,132"
2021,2,IN,Total Electric Power Industry,Petroleum (Barrels),"47,794"
2021,2,IN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2021,2,IN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"972,855"
2021,2,IN,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"1,132"
2021,2,IN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),90
2021,2,IN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),837
2021,2,IN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"67,038"
2021,2,IN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),55
2021,2,IN,"Combined Heat and Power, Electric Power",Coal (Short Tons),"187,168"
2021,2,IN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,529,466"
2021,2,IN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),200
2021,2,IN,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
